IMDb ID,Primary Title,Original Title,Year,IMDb Rating,IMDb Votes,Letterboxd Avg Rating,Letterboxd Rating Count,Letterboxd URL
tt3681464,,,2014,6.8,1.1K,3.28,509,https://letterboxd.com/tmdb/263505/
tt12637548,,,2021,7.6,1.8K,0,0,https://letterboxd.com/tmdb/839207/
tt0907619,,,2004,6.5,2.1K,3.19,979,https://letterboxd.com/tmdb/80856/
tt0266260,,,1985,7.2,1.2K,0,0,https://letterboxd.com/tmdb/96112/
tt7294534,,,2017,7.9,29K,3.15,7334,https://letterboxd.com/tmdb/473234/
tt2404027,,,2012,6.8,2.2K,3.2,752,https://letterboxd.com/tmdb/117369/
tt2555958,,,2013,7,11K,3.11,2409,https://letterboxd.com/tmdb/188540/
tt0083578,,,1982,7.8,1.6K,3.63,561,https://letterboxd.com/tmdb/96156/
tt30970235,,,2024,7.8,24K,3.19,4512,https://letterboxd.com/tmdb/1233531/
tt0139861,,,1997,7.5,2.7K,3.39,1511,https://letterboxd.com/tmdb/66245/
tt10324144,,,2019,8.1,38K,3.65,10149,https://letterboxd.com/tmdb/597089/
tt0431619,,,2004,7.8,8.5K,3.43,2667,https://letterboxd.com/tmdb/80880/
tt5867800,,,2016,8.3,15K,3.73,3737,https://letterboxd.com/tmdb/423191/
tt14053010,,,2021,6.2,1.1K,0,0,https://letterboxd.com/tmdb/903692/
tt1526323,,,2009,7.5,8K,3.33,3349,https://letterboxd.com/tmdb/34763/
tt1361809,,,2009,7.4,3.6K,3.49,2135,https://letterboxd.com/tmdb/31629/
tt0267277,,,1988,9,2.1K,3.71,351,https://letterboxd.com/tmdb/302435/
tt8749962,,,2018,7,1.1K,0,0,https://letterboxd.com/tmdb/538154/
tt15373594,,,2022,7.4,1.9K,3.25,1670,https://letterboxd.com/tmdb/967796/
tt1704137,,,2008,7.4,1.2K,3.59,1206,https://letterboxd.com/tmdb/80889/
tt0249371,,,2001,6.4,16K,3.07,4192,https://letterboxd.com/tmdb/4435/
tt11497480,,,2020,7,1.6K,3.17,240,https://letterboxd.com/tmdb/668097/
tt9477520,,,2019,8.4,35K,3.93,11656,https://letterboxd.com/tmdb/576928/
tt0471571,,,2005,8.2,16K,3.91,4659,https://letterboxd.com/tmdb/37172/
tt11430262,,,2020,6.4,1.4K,2.95,665,https://letterboxd.com/tmdb/658113/
tt27191600,,,2023,6.7,8.8K,0,0,https://letterboxd.com/tmdb/1034882/
tt12969078,,,2020,7.6,4.3K,0,0,https://letterboxd.com/tmdb/739812/
tt1578116,,,2010,6.5,7.2K,3.08,1889,https://letterboxd.com/tmdb/34144/
tt9766332,,,2021,6.5,29K,2.83,8558,https://letterboxd.com/tmdb/618911/
tt2845796,,,2012,7.2,1.2K,3.56,2138,https://letterboxd.com/tmdb/129848/
tt7529298,,,2022,6.8,17K,2.99,1786,https://letterboxd.com/tmdb/799155/
tt13423468,,,2021,6.8,1.6K,3.4,1315,https://letterboxd.com/tmdb/798488/
tt0881894,,,2004,6.3,1.7K,3.18,439,https://letterboxd.com/tmdb/69394/
tt3042926,,,2013,7.3,10K,3.35,2811,https://letterboxd.com/tmdb/224061/
tt21835934,,,2023,6.7,1.2K,3.21,1075,https://letterboxd.com/tmdb/980044/
tt26659814,,,2024,6.6,40K,2.77,953,https://letterboxd.com/tmdb/1083590/
tt2804026,,,2013,6.4,4.5K,3.06,508,https://letterboxd.com/tmdb/188306/
tt1611004,,,2010,7.4,2.6K,3.42,591,https://letterboxd.com/tmdb/167558/
tt0411131,,,2004,7.8,1.2K,3.54,494,https://letterboxd.com/tmdb/140299/
tt7471004,,,2017,6.7,2.8K,3.19,1655,https://letterboxd.com/tmdb/480308/
tt1606376,,,2011,6.3,1.3K,3.24,1300,https://letterboxd.com/tmdb/65518/
